original_transaction_id;original_purchase_date;transaction_id;purchase_date
100001666350205;2024-05-01;100001673857680;2024-05-08
100001666350205;2024-05-01;100001666350205;2024-05-01
100001666350205;2024-05-01;100001683102502;2024-05-23
100001666928347;2024-05-01;100001666928347;2024-05-01
100001667091726;2024-05-01;100001667091726;2024-05-01
100001667348375;2024-05-01;1100000011489013;2024-05-16
100001667348375;2024-05-01;100001698109825;2024-06-06
100001667348375;2024-05-01;100001674730516;2024-05-08
100001667348375;2024-05-01;100001682650302;2024-05-23
100001667348375;2024-05-01;100001690411560;2024-05-30
100001667348375;2024-05-01;100001667348375;2024-05-01
100001667505076;2024-05-01;100001674837057;2024-05-09
100001667505076;2024-05-01;100001667505076;2024-05-01
100001667702819;2024-05-02;100001667702819;2024-05-02
100001667702819;2024-05-02;100001691205011;2024-05-30
100001667718584;2024-05-02;100001693160957;2024-06-01
100001667718584;2024-05-02;100001667718584;2024-05-02
100001667740467;2024-05-02;100001690717558;2024-05-30
100001667740467;2024-05-02;100001675039899;2024-05-09
100001667740467;2024-05-02;1100000011801548;2024-05-16
100001667740467;2024-05-02;100001682952798;2024-05-23
100001667740467;2024-05-02;100001667740467;2024-05-02
100001667758395;2024-05-02;100001682972295;2024-05-23
100001667758395;2024-05-02;100001690735851;2024-05-30
100001667758395;2024-05-02;100001667758395;2024-05-02
100001667758395;2024-05-02;100001675470215;2024-05-09
100001667758395;2024-05-02;1100000011822996;2024-05-16
100001667814025;2024-05-02;100001667814025;2024-05-02
100001667814025;2024-05-02;100001675128775;2024-05-09
100001668692521;2024-05-03;100001668692521;2024-05-03
100001668734390;2024-05-03;100001668734390;2024-05-03
100001669250739;2024-05-03;100001669250739;2024-05-03
100001669418687;2024-05-03;100001669418687;2024-05-03
100001669649673;2024-05-04;100001669649673;2024-05-04
100001669675720;2024-05-04;100001669675720;2024-05-04
100001669949682;2024-05-04;100001669949682;2024-05-04
100001669949682;2024-05-04;1100000010800182;2024-05-11
100001669949682;2024-05-04;100001677452178;2024-05-18
100001670108405;2024-05-04;100001670108405;2024-05-04
100001670108405;2024-05-04;1100000006467114;2024-05-11
100001670746251;2024-05-04;100001670746251;2024-05-04
100001670746251;2024-05-04;1100000007130080;2024-05-12
100001671076012;2024-05-05;100001671076012;2024-05-05
100001671380648;2024-05-05;100001689396215;2024-05-29
100001671380648;2024-05-05;100001671380648;2024-05-05
100001671380648;2024-05-05;100001697112473;2024-06-05
100001671380648;2024-05-05;100001681633274;2024-05-22
100001671380648;2024-05-05;1100000010812942;2024-05-15
100001671439898;2024-05-05;100001671439898;2024-05-05
100001671624816;2024-05-05;100001671624816;2024-05-05
100001671998034;2024-05-06;100001671998034;2024-05-06
100001672372454;2024-05-06;100001672372454;2024-05-06
100001672905510;2024-05-07;100001672905510;2024-05-07
100001673171055;2024-05-07;100001673171055;2024-05-07
100001673692114;2024-05-07;100001673692114;2024-05-07
100001674032006;2024-05-07;100001674032006;2024-05-07
100001674032006;2024-05-07;1100000010420623;2024-05-15
100001674517612;2024-05-08;100001674517612;2024-05-08
100001675035778;2024-05-09;100001675035778;2024-05-09
100001675053289;2024-05-09;100001678518264;2024-05-16
100001675053289;2024-05-09;100001675053289;2024-05-09
100001675236095;2024-05-09;1100000011619282;2024-05-16
100001675236095;2024-05-09;100001675236095;2024-05-09
100001675490462;2024-05-09;100001691301848;2024-05-30
100001675490462;2024-05-09;100001678198701;2024-05-16
100001675490462;2024-05-09;100001683031268;2024-05-23
100001675490462;2024-05-09;100001675490462;2024-05-09
100001675501441;2024-05-09;100001675501441;2024-05-09
100001675776911;2024-05-16;100001675776911;2024-05-16
100001675927680;2024-05-16;100001675927680;2024-05-16
100001675927680;2024-05-16;100001683202666;2024-05-23
100001675927680;2024-05-16;100001692889897;2024-05-30
100001676244345;2024-05-16;100001676244345;2024-05-16
100001676266726;2024-05-16;100001683553912;2024-05-23
100001676266726;2024-05-16;100001676266726;2024-05-16
100001676290990;2024-05-16;100001676290990;2024-05-16
100001676290990;2024-05-16;100001683578529;2024-05-23
100001676307216;2024-05-16;100001676307216;2024-05-16
100001676552897;2024-05-17;100001676552897;2024-05-17
100001676613704;2024-05-17;100001676613704;2024-05-17
100001676613704;2024-05-17;100001694279149;2024-06-02
100001677407038;2024-05-17;100001677407038;2024-05-17
100001677407038;2024-05-17;100001684709990;2024-05-24
100001677468484;2024-05-17;100001684770527;2024-05-24
100001677468484;2024-05-17;100001692504193;2024-05-31
100001677468484;2024-05-17;100001677468484;2024-05-17
100001677827279;2024-05-18;100001677827279;2024-05-18
